numpy,cupy,dask.array,jax,mxnet,pytorch,rnumpy,sparse
"numpy.polynomial.chebyshev.chebweight","","","","","","",""
"numpy.polynomial.chebyshev.poly2cheb","","","","","","",""
"numpy.polynomial.hermite.herm2poly","","","","","","",""
"numpy.polynomial.hermite.hermadd","","","","","","",""
"numpy.polynomial.hermite.hermcompanion","","","","","","",""
"numpy.polynomial.hermite.hermder","","","","","","",""
"numpy.polynomial.hermite.hermdiv","","","","","","",""
"numpy.polynomial.hermite.hermfit","","","","","","",""
"numpy.polynomial.hermite.hermfromroots","","","","","","",""
"numpy.polynomial.hermite.hermgauss","","","","","","",""
"numpy.polynomial.hermite.hermgrid2d","","","","","","",""
"numpy.polynomial.hermite.hermgrid3d","","","","","","",""
"numpy.polynomial.hermite.hermint","","","","","","",""
"numpy.polynomial.hermite.hermline","","","","","","",""
"numpy.polynomial.hermite.hermmul","","","","","","",""
"numpy.polynomial.hermite.hermmulx","","","","","","",""
"numpy.polynomial.hermite.hermpow","","","","","","",""
"numpy.polynomial.hermite.hermroots","","","","","","",""
"numpy.polynomial.hermite.hermsub","","","","","","",""
"numpy.polynomial.hermite.hermtrim","","","","","","",""
"numpy.polynomial.hermite.hermval","","","","","","",""
"numpy.polynomial.hermite.hermval2d","","","","","","",""
"numpy.polynomial.hermite.hermval3d","","","","","","",""
"numpy.polynomial.hermite.hermvander","","","","","","",""
"numpy.polynomial.hermite.hermvander2d","","","","","","",""
"numpy.polynomial.hermite.hermvander3d","","","","","","",""
"numpy.polynomial.hermite.hermweight","","","","","","",""
"numpy.polynomial.hermite.poly2herm","","","","","","",""
"numpy.polynomial.hermite_e.herme2poly","","","","","","",""
"numpy.polynomial.hermite_e.hermeadd","","","","","","",""
"numpy.polynomial.hermite_e.hermecompanion","","","","","","",""
"numpy.polynomial.hermite_e.hermeder","","","","","","",""
"numpy.polynomial.hermite_e.hermediv","","","","","","",""
"numpy.polynomial.hermite_e.hermefit","","","","","","",""
"numpy.polynomial.hermite_e.hermefromroots","","","","","","",""
"numpy.polynomial.hermite_e.hermegauss","","","","","","",""
"numpy.polynomial.hermite_e.hermegrid2d","","","","","","",""
"numpy.polynomial.hermite_e.hermegrid3d","","","","","","",""
"numpy.polynomial.hermite_e.hermeint","","","","","","",""
"numpy.polynomial.hermite_e.hermeline","","","","","","",""
"numpy.polynomial.hermite_e.hermemul","","","","","","",""
"numpy.polynomial.hermite_e.hermemulx","","","","","","",""
"numpy.polynomial.hermite_e.hermepow","","","","","","",""
"numpy.polynomial.hermite_e.hermeroots","","","","","","",""
"numpy.polynomial.hermite_e.hermesub","","","","","","",""
"numpy.polynomial.hermite_e.hermetrim","","","","","","",""
"numpy.polynomial.hermite_e.hermeval","","","","","","",""
"numpy.polynomial.hermite_e.hermeval2d","","","","","","",""
"numpy.polynomial.hermite_e.hermeval3d","","","","","","",""
"numpy.polynomial.hermite_e.hermevander","","","","","","",""
"numpy.polynomial.hermite_e.hermevander2d","","","","","","",""
"numpy.polynomial.hermite_e.hermevander3d","","","","","","",""
"numpy.polynomial.hermite_e.hermeweight","","","","","","",""
"numpy.polynomial.hermite_e.poly2herme","","","","","","",""
"numpy.polynomial.laguerre.lag2poly","","","","","","",""
"numpy.polynomial.laguerre.lagadd","","","","","","",""
"numpy.polynomial.laguerre.lagcompanion","","","","","","",""
"numpy.polynomial.laguerre.lagder","","","","","","",""
"numpy.polynomial.laguerre.lagdiv","","","","","","",""
"numpy.polynomial.laguerre.lagfit","","","","","","",""
"numpy.polynomial.laguerre.lagfromroots","","","","","","",""
"numpy.polynomial.laguerre.laggauss","","","","","","",""
"numpy.polynomial.laguerre.laggrid2d","","","","","","",""
"numpy.polynomial.laguerre.laggrid3d","","","","","","",""
"numpy.polynomial.laguerre.lagint","","","","","","",""
"numpy.polynomial.laguerre.lagline","","","","","","",""
"numpy.polynomial.laguerre.lagmul","","","","","","",""
"numpy.polynomial.laguerre.lagmulx","","","","","","",""
"numpy.polynomial.laguerre.lagpow","","","","","","",""
"numpy.polynomial.laguerre.lagroots","","","","","","",""
"numpy.polynomial.laguerre.lagsub","","","","","","",""
"numpy.polynomial.laguerre.lagtrim","","","","","","",""
"numpy.polynomial.laguerre.lagval","","","","","","",""
"numpy.polynomial.laguerre.lagval2d","","","","","","",""
"numpy.polynomial.laguerre.lagval3d","","","","","","",""
"numpy.polynomial.laguerre.lagvander","","","","","","",""
"numpy.polynomial.laguerre.lagvander2d","","","","","","",""
"numpy.polynomial.laguerre.lagvander3d","","","","","","",""
"numpy.polynomial.laguerre.lagweight","","","","","","",""
"numpy.polynomial.laguerre.poly2lag","","","","","","",""
"numpy.polynomial.legendre.leg2poly","","","","","","",""
"numpy.polynomial.legendre.legadd","","","","","","",""
"numpy.polynomial.legendre.legcompanion","","","","","","",""
"numpy.polynomial.legendre.legder","","","","","","",""
"numpy.polynomial.legendre.legdiv","","","","","","",""
"numpy.polynomial.legendre.legfit","","","","","","",""
"numpy.polynomial.legendre.legfromroots","","","","","","",""
"numpy.polynomial.legendre.leggauss","","","","","","",""
"numpy.polynomial.legendre.leggrid2d","","","","","","",""
"numpy.polynomial.legendre.leggrid3d","","","","","","",""
"numpy.polynomial.legendre.legint","","","","","","",""
"numpy.polynomial.legendre.legline","","","","","","",""
"numpy.polynomial.legendre.legmul","","","","","","",""
"numpy.polynomial.legendre.legmulx","","","","","","",""
"numpy.polynomial.legendre.legpow","","","","","","",""
"numpy.polynomial.legendre.legroots","","","","","","",""
"numpy.polynomial.legendre.legsub","","","","","","",""
"numpy.polynomial.legendre.legtrim","","","","","","",""
"numpy.polynomial.legendre.legval","","","","","","",""
"numpy.polynomial.legendre.legval2d","","","","","","",""
"numpy.polynomial.legendre.legval3d","","","","","","",""
"numpy.polynomial.legendre.legvander","","","","","","",""
"numpy.polynomial.legendre.legvander2d","","","","","","",""
"numpy.polynomial.legendre.legvander3d","","","","","","",""
"numpy.polynomial.legendre.legweight","","","","","","",""
"numpy.polynomial.legendre.poly2leg","","","","","","",""
"numpy.polynomial.polynomial.polyadd","","","","","","",""
"numpy.polynomial.polynomial.polycompanion","","","","","","",""
"numpy.polynomial.polynomial.polyder","","","","","","",""
"numpy.polynomial.polynomial.polydiv","","","","","","",""
"numpy.polynomial.polynomial.polyfit","","","","","","",""
"numpy.polynomial.polynomial.polyfromroots","","","","","","",""
"numpy.polynomial.polynomial.polygrid2d","","","","","","",""
"numpy.polynomial.polynomial.polygrid3d","","","","","","",""
"numpy.polynomial.polynomial.polyint","","","","","","",""
"numpy.polynomial.polynomial.polyline","","","","","","",""
"numpy.polynomial.polynomial.polymul","","","","","","",""
"numpy.polynomial.polynomial.polymulx","","","","","","",""
"numpy.polynomial.polynomial.polypow","","","","","","",""
"numpy.polynomial.polynomial.polyroots","","","","","","",""
"numpy.polynomial.polynomial.polysub","","","","","","",""
"numpy.polynomial.polynomial.polytrim","","","","","","",""
"numpy.polynomial.polynomial.polyval","","","","","","",""
"numpy.polynomial.polynomial.polyval2d","","","","","","",""
"numpy.polynomial.polynomial.polyval3d","","","","","","",""
"numpy.polynomial.polynomial.polyvalfromroots","","","","","","",""
"numpy.polynomial.polynomial.polyvander","","","","","","",""
"numpy.polynomial.polynomial.polyvander2d","","","","","","",""
"numpy.polynomial.polynomial.polyvander3d","","","","","","",""
"numpy.polynomial.polyutils.as_series","","","","","","",""
"numpy.polynomial.polyutils.getdomain","","","","","","",""
"numpy.polynomial.polyutils.mapdomain","","","","","","",""
"numpy.polynomial.polyutils.mapparms","","","","","","",""
"numpy.polynomial.polyutils.trimcoef","","","","","","",""
"numpy.polynomial.polyutils.trimseq","","","","","","",""
"numpy.polysub","","","","","","",""
"numpy.polyval","","","polyval","","","",""
"numpy.positive","","","positive","positive","","",""
"numpy.power","power","","power","power","pow","power",""
"numpy.ppmt","","","","","","",""
"numpy.printoptions","","","","printoptions","","",""
"numpy.prod","prod","prod","product","prod","prod","",""
"numpy.promote_types","","","promote_types","","promote_types","",""
"numpy.ptp","","ptp","ptp","ptp","","",""
"numpy.put","put","","","","","",""
"numpy.put_along_axis","","","","","","",""
"numpy.putmask","","","","","","",""
"numpy.pv","","","","","","",""
"numpy.quantile","","","quantile","quantile","","quantile",""
"numpy.rad2deg","rad2deg","rad2deg","rad2deg","rad2deg","","rad2deg",""
"numpy.radians","radians","radians","radians","radians","","",""
"numpy.random.default_rng","","","","","","",""
"numpy.random.entropy.random_entropy","","","","","","",""
"numpy.rate","","","","","","",""
"numpy.ravel","ravel","ravel","ravel","ravel","","ravel",""
"numpy.ravel_multi_index","","","","","","",""
"numpy.real","real","real","real","real","real","",""
"numpy.real_if_close","","","","real_if_close","","",""
"numpy.reciprocal","reciprocal","","reciprocal","reciprocal","","",""
"numpy.remainder","remainder","","remainder","remainder","remainder","",""
"numpy.repeat","repeat","repeat","repeat","repeat","","repeat",""
"numpy.require","","","","require","","",""
"numpy.reshape","reshape","reshape","reshape","reshape","reshape","",""
"numpy.resize","","","","resize","","",""
"numpy.result_type","result_type","result_type","result_type","","result_type","","result_type"
"numpy.right_shift","right_shift","","right_shift","","","",""
"numpy.rint","rint","rint","rint","rint","","",""
"numpy.roll","roll","roll","roll","roll","roll","","roll"
"numpy.rollaxis","rollaxis","rollaxis","rollaxis","rollaxis","","",""
"numpy.roots","","","roots","","","",""
"numpy.rot90","rot90","","rot90","rot90","rot90","",""
"numpy.round_","round_","","round","round_","round","",""
"numpy.save","save","","","save","","save",""
"numpy.savetxt","","","","savetxt","","",""
"numpy.savez","savez","","","savez","","savez",""
"numpy.savez_compressed","savez_compressed","","","savez_compressed","","",""
"numpy.sctype2char","","","","","","",""
"numpy.searchsorted","searchsorted","","","searchsorted","","",""
"numpy.select","","","select","","","",""
"numpy.set_printoptions","","","","set_printoptions","","",""
"numpy.set_string_function","","","","set_string_function","","",""
"numpy.setbufsize","","","","","","",""
"numpy.setdiff1d","","","","","","",""
"numpy.seterr","","","","","","",""
"numpy.seterrcall","","","","","","",""
"numpy.seterrobj","","","","","","",""
"numpy.setxor1d","","","","","","",""
"numpy.shares_memory","","","","","","",""
"numpy.sign","sign","sign","sign","sign","sign","sign",""
"numpy.signbit","signbit","signbit","signbit","signbit","","",""
"numpy.sin","sin","sin","sin","sin","sin","sin",""
"numpy.sinc","sinc","","sinc","sinc","","",""
"numpy.sinh","sinh","sinh","sinh","sinh","sinh","sinh",""
"numpy.sort","sort","","sort","sort","sort","sort",""
"numpy.sort_complex","","","","sort_complex","","",""
"numpy.source","","","","","","",""
"numpy.spacing","","","","spacing","","",""
"numpy.split","split","","split","split","split","",""
"numpy.sqrt","sqrt","sqrt","sqrt","sqrt","sqrt","sqrt",""
"numpy.square","square","square","square","square","square","",""
"numpy.squeeze","squeeze","squeeze","squeeze","squeeze","squeeze","squeeze",""
"numpy.stack","stack","stack","stack","stack","stack","stack","stack"
"numpy.std","std","std","std","std","std","std",""
"numpy.subtract","subtract","","subtract","subtract","","subtract",""
"numpy.sum","sum","sum","sum","sum","sum","",""
"numpy.swapaxes","swapaxes","","swapaxes","swapaxes","","swapaxes",""
"numpy.take","take","take","take","","take","",""
"numpy.take_along_axis","take_along_axis","","take_along_axis","","","",""
"numpy.tan","tan","tan","tan","tan","tan","tan",""
"numpy.tanh","tanh","tanh","tanh","tanh","tanh","tanh",""
"numpy.tensordot","tensordot","tensordot","tensordot","tensordot","tensordot","tensordot","tensordot"
"numpy.tile","tile","tile","tile","tile","","tile",""
"numpy.trace","trace","trace","trace","trace","trace","",""
"numpy.transpose","transpose","transpose","transpose","transpose","transpose","",""
"numpy.trapz","","","","trapz","trapz","",""
"numpy.tri","tri","","tri","tri","","",""
"numpy.tril","tril","tril","tril","tril","tril","","tril"
"numpy.tril_indices","","","tril_indices","","tril_indices","",""
"numpy.tril_indices_from","","","","","","",""
"numpy.trim_zeros","","","","trim_zeros","","",""
"numpy.triu","triu","triu","triu","triu","triu","","triu"
"numpy.triu_indices","","","triu_indices","","triu_indices","",""
"numpy.triu_indices_from","","","","","","",""
"numpy.true_divide","true_divide","","true_divide","true_divide","true_divide","",""
"numpy.trunc","trunc","trunc","trunc","trunc","trunc","",""
"numpy.typename","","","","","","",""
"numpy.union1d","","","","","","",""
"numpy.unique","unique","unique","","unique","unique","unique",""
"numpy.unpackbits","unpackbits","","unpackbits","","","",""
"numpy.unravel_index","unravel_index","unravel_index","","","","",""
"numpy.unwrap","unwrap","","","unwrap","","",""
"numpy.vander","","","vander","vander","","",""
"numpy.var","var","var","var","var","var","var",""
"numpy.vdot","vdot","vdot","vdot","vdot","","",""
"numpy.vsplit","vsplit","","vsplit","vsplit","","",""
"numpy.vstack","vstack","vstack","vstack","vstack","","",""
"numpy.where","where","where","where","where","where","where","where"
"numpy.zeros","zeros","zeros","zeros","zeros","zeros","zeros","zeros"
"numpy.zeros_like","zeros_like","zeros_like","zeros_like","zeros_like","zeros_like","zeros_like","zeros_like"
