numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.polynomial.laguerre.laggrid3d","","","","","",""
"numpy.polynomial.laguerre.lagint","","","","","",""
"numpy.polynomial.laguerre.lagline","","","","","",""
"numpy.polynomial.laguerre.lagmul","","","","","",""
"numpy.polynomial.laguerre.lagmulx","","","","","",""
"numpy.polynomial.laguerre.lagpow","","","","","",""
"numpy.polynomial.laguerre.lagroots","","","","","",""
"numpy.polynomial.laguerre.lagsub","","","","","",""
"numpy.polynomial.laguerre.lagtrim","","","","","",""
"numpy.polynomial.laguerre.lagval","","","","","",""
"numpy.polynomial.laguerre.lagval2d","","","","","",""
"numpy.polynomial.laguerre.lagval3d","","","","","",""
"numpy.polynomial.laguerre.lagvander","","","","","",""
"numpy.polynomial.laguerre.lagvander2d","","","","","",""
"numpy.polynomial.laguerre.lagvander3d","","","","","",""
"numpy.polynomial.laguerre.lagweight","","","","","",""
"numpy.polynomial.laguerre.poly2lag","","","","","",""
"numpy.polynomial.legendre.leg2poly","","","","","",""
"numpy.polynomial.legendre.legadd","","","","","",""
"numpy.polynomial.legendre.legcompanion","","","","","",""
"numpy.polynomial.legendre.legder","","","","","",""
"numpy.polynomial.legendre.legdiv","","","","","",""
"numpy.polynomial.legendre.legfit","","","","","",""
"numpy.polynomial.legendre.legfromroots","","","","","",""
"numpy.polynomial.legendre.leggauss","","","","","",""
"numpy.polynomial.legendre.leggrid2d","","","","","",""
"numpy.polynomial.legendre.leggrid3d","","","","","",""
"numpy.polynomial.legendre.legint","","","","","",""
"numpy.polynomial.legendre.legline","","","","","",""
"numpy.polynomial.legendre.legmul","","","","","",""
"numpy.polynomial.legendre.legmulx","","","","","",""
"numpy.polynomial.legendre.legpow","","","","","",""
"numpy.polynomial.legendre.legroots","","","","","",""
"numpy.polynomial.legendre.legsub","","","","","",""
"numpy.polynomial.legendre.legtrim","","","","","",""
"numpy.polynomial.legendre.legval","","","","","",""
"numpy.polynomial.legendre.legval2d","","","","","",""
"numpy.polynomial.legendre.legval3d","","","","","",""
"numpy.polynomial.legendre.legvander","","","","","",""
"numpy.polynomial.legendre.legvander2d","","","","","",""
"numpy.polynomial.legendre.legvander3d","","","","","",""
"numpy.polynomial.legendre.legweight","","","","","",""
"numpy.polynomial.legendre.poly2leg","","","","","",""
"numpy.polynomial.polynomial.polyadd","","","","","",""
"numpy.polynomial.polynomial.polycompanion","","","","","",""
"numpy.polynomial.polynomial.polyder","","","","","",""
"numpy.polynomial.polynomial.polydiv","","","","","",""
"numpy.polynomial.polynomial.polyfit","","","","","",""
"numpy.polynomial.polynomial.polyfromroots","","","","","",""
"numpy.polynomial.polynomial.polygrid2d","","","","","",""
"numpy.polynomial.polynomial.polygrid3d","","","","","",""
"numpy.polynomial.polynomial.polyint","","","","","",""
"numpy.polynomial.polynomial.polyline","","","","","",""
"numpy.polynomial.polynomial.polymul","","","","","",""
"numpy.polynomial.polynomial.polymulx","","","","","",""
"numpy.polynomial.polynomial.polypow","","","","","",""
"numpy.polynomial.polynomial.polyroots","","","","","",""
"numpy.polynomial.polynomial.polysub","","","","","",""
"numpy.polynomial.polynomial.polytrim","","","","","",""
"numpy.polynomial.polynomial.polyval","","","","","","math.polyval"
"numpy.polynomial.polynomial.polyval2d","","","","","",""
"numpy.polynomial.polynomial.polyval3d","","","","","",""
"numpy.polynomial.polynomial.polyvalfromroots","","","","","",""
"numpy.polynomial.polynomial.polyvander","","","","","",""
"numpy.polynomial.polynomial.polyvander2d","","","","","",""
"numpy.polynomial.polynomial.polyvander3d","","","","","",""
"numpy.polynomial.polyutils.as_series","","","","","",""
"numpy.polynomial.polyutils.getdomain","","","","","",""
"numpy.polynomial.polyutils.mapdomain","","","","","",""
"numpy.polynomial.polyutils.mapparms","","","","","",""
"numpy.polynomial.polyutils.trimcoef","","","","","",""
"numpy.polynomial.polyutils.trimseq","","","","","",""
"numpy.polysub","","","","","",""
"numpy.polyval","","","polyval","","",""
"numpy.positive","","","positive","positive","",""
"numpy.power","power","","power","power","pow","math.pow"
"numpy.ppmt","","","","","",""
"numpy.printoptions","","","","printoptions","",""
"numpy.promote_types","","","promote_types","","promote_types",""
"numpy.ptp","","ptp","ptp","ptp","",""
"numpy.put","put","","","","",""
"numpy.put_along_axis","","","","","",""
"numpy.putmask","","","","","",""
"numpy.pv","","","","","",""
"numpy.quantile","","","quantile","quantile","",""
"numpy.rad2deg","rad2deg","rad2deg","rad2deg","rad2deg","",""
"numpy.radians","radians","radians","radians","radians","",""
"numpy.random.default_rng","","","","","",""
"numpy.random.entropy.random_entropy","","","","","",""
"numpy.rate","","","","","",""
"numpy.ravel","ravel","ravel","ravel","ravel","",""
"numpy.ravel_multi_index","","","","","",""
"numpy.real_if_close","","","","real_if_close","",""
"numpy.reciprocal","reciprocal","","reciprocal","reciprocal","","math.reciprocal"
"numpy.remainder","remainder","","remainder","remainder","remainder",""
"numpy.repeat","repeat","repeat","repeat","repeat","","repeat"
"numpy.require","","","","require","",""
"numpy.resize","","","","resize","",""
"numpy.result_type","result_type","result_type","result_type","","result_type",""
"numpy.right_shift","right_shift","","right_shift","","","bitwise.right_shift"
"numpy.rollaxis","rollaxis","rollaxis","rollaxis","rollaxis","",""
"numpy.roots","","","roots","","",""
"numpy.rot90","rot90","","rot90","rot90","rot90",""
"numpy.round_","round_","","round","round_","","math.round"
"numpy.save","save","","","save","",""
"numpy.savetxt","","","","savetxt","",""
"numpy.savez","savez","","","savez","",""
"numpy.savez_compressed","savez_compressed","","","savez_compressed","",""
"numpy.sctype2char","","","","","",""
"numpy.searchsorted","searchsorted","","","searchsorted","","searchsorted"
"numpy.select","","","select","","",""
"numpy.set_printoptions","","","","set_printoptions","",""
"numpy.set_string_function","","","","set_string_function","",""
"numpy.setbufsize","","","","","",""
"numpy.setdiff1d","","","","","","sets.difference"
"numpy.seterr","","","","","",""
"numpy.seterrcall","","","","","",""
"numpy.seterrobj","","","","","",""
"numpy.setxor1d","","","","","",""
"numpy.shares_memory","","","","","",""
"numpy.signbit","signbit","signbit","signbit","signbit","",""
"numpy.sinc","sinc","","sinc","sinc","",""
"numpy.sort","sort","","sort","sort","sort","sort"
"numpy.sort_complex","","","","sort_complex","",""
"numpy.source","","","","","",""
"numpy.spacing","","","","spacing","",""
"numpy.split","split","","split","split","split","split"
"numpy.subtract","subtract","","subtract","subtract","","math.subtract"
"numpy.swapaxes","swapaxes","","swapaxes","swapaxes","",""
"numpy.take","take","take","take","","take",""
"numpy.take_along_axis","take_along_axis","","take_along_axis","","",""
"numpy.tile","tile","tile","tile","tile","","tile"
"numpy.trapz","","","","trapz","trapz",""
"numpy.tri","tri","","tri","tri","",""
"numpy.tril","tril","tril","tril","tril","tril",""
"numpy.tril_indices","","","tril_indices","","tril_indices",""
"numpy.tril_indices_from","","","","","",""
"numpy.trim_zeros","","","","trim_zeros","",""
"numpy.triu","triu","triu","triu","triu","triu",""
"numpy.triu_indices","","","triu_indices","","triu_indices",""
"numpy.triu_indices_from","","","","","",""
"numpy.true_divide","true_divide","","true_divide","true_divide","true_divide","math.truediv"
"numpy.typename","","","","","",""
"numpy.union1d","","","","","","sets.union"
"numpy.unique","unique","unique","","unique","unique","unique"
"numpy.unpackbits","unpackbits","","unpackbits","","",""
"numpy.unravel_index","unravel_index","unravel_index","","","","unravel_index"
"numpy.unwrap","unwrap","","","unwrap","",""
"numpy.vander","","","vander","vander","",""
"numpy.vdot","vdot","vdot","vdot","vdot","",""
"numpy.vsplit","vsplit","","vsplit","vsplit","",""
"numpy.vstack","vstack","vstack","vstack","vstack","",""
