name,description,signature,url
"ma.masked_where","Mask an array where a condition is met.","ma.masked_where(condition\, a)","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_where"
"ma.set_fill_value","Set the filling value of a\, if a is a masked array.","ma.set_fill_value(a\, fill_value)","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.set_fill_value"
"map_blocks","Map a function across all blocks of a dask array.","map_blocks(func\, *args[\, name\, token\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.map_blocks"
"map_overlap","Map a function over blocks of arrays with some overlap","map_overlap(func\, *args[\, depth\, boundary\, …])","https://docs.dask.org/en/latest/array-api.htmlarray-overlap.html#dask.array.map_overlap"
"matmul","This docstring was copied from numpy.matmul.","matmul(x1\, x2\, /[\, out\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.matmul"
"max","Return the maximum of an array or maximum along an axis.","max(a[\, axis\, keepdims\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.max"
"maximum","This docstring was copied from numpy.maximum.","maximum(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.maximum"
"mean","Compute the arithmetic mean along the specified axis.","mean(a[\, axis\, dtype\, keepdims\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.mean"
"median","Compute the median along the specified axis.","median(a[\, axis\, keepdims\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.median"
"meshgrid","Return coordinate matrices from coordinate vectors.","meshgrid(*xi\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.meshgrid"
"min","Return the minimum of an array or minimum along an axis.","min(a[\, axis\, keepdims\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.min"
"minimum","This docstring was copied from numpy.minimum.","minimum(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.minimum"
"mod","This docstring was copied from numpy.remainder.","mod(x1\, x2\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.mod"
"modf","This docstring was copied from numpy.modf.","modf(x[\, out1\, out2]\, / [[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.modf"
"moment","","moment(a\, order[\, axis\, dtype\, keepdims\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.moment"
"moveaxis","Move axes of an array to new positions.","moveaxis(a\, source\, destination)","https://docs.dask.org/en/latest/array-api.html#dask.array.moveaxis"
"multiply","This docstring was copied from numpy.multiply.","multiply(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.multiply"
"nan_to_num","Replace NaN with zero and infinity with large finite numbers (default behaviour) or with the numbers defined by the user using the nan\,  posinf and/or neginf keywords.","nan_to_num(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.nan_to_num"
"nanargmax","Return the maximum of an array or maximum along an axis\, ignoring any NaNs.","nanargmax(x[\, axis\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.nanargmax"
"nanargmin","Return minimum of an array or minimum along an axis\, ignoring any NaNs.","nanargmin(x[\, axis\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.nanargmin"
"nancumprod","Return the cumulative product of array elements over a given axis treating Not a Numbers (NaNs) as one.","nancumprod(x\, axis[\, dtype\, out\, method])","https://docs.dask.org/en/latest/array-api.html#dask.array.nancumprod"
"nancumsum","Return the cumulative sum of array elements over a given axis treating Not a Numbers (NaNs) as zero.","nancumsum(x\, axis[\, dtype\, out\, method])","https://docs.dask.org/en/latest/array-api.html#dask.array.nancumsum"
"nanmax","Return the maximum of an array or maximum along an axis\, ignoring any NaNs.","nanmax(a[\, axis\, keepdims\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.nanmax"
"nanmean","Compute the arithmetic mean along the specified axis\, ignoring NaNs.","nanmean(a[\, axis\, dtype\, keepdims\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.nanmean"
"nanmedian","Compute the median along the specified axis\, while ignoring NaNs.","nanmedian(a[\, axis\, keepdims\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.nanmedian"
"nanmin","Return minimum of an array or minimum along an axis\, ignoring any NaNs.","nanmin(a[\, axis\, keepdims\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.nanmin"
"nanprod","Return the product of array elements over a given axis treating Not a Numbers (NaNs) as ones.","nanprod(a[\, axis\, dtype\, keepdims\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.nanprod"
"nanstd","Compute the standard deviation along the specified axis\, while ignoring NaNs.","nanstd(a[\, axis\, dtype\, keepdims\, ddof\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.nanstd"
"nansum","Return the sum of array elements over a given axis treating Not a Numbers (NaNs) as zero.","nansum(a[\, axis\, dtype\, keepdims\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.nansum"
"nanvar","Compute the variance along the specified axis\, while ignoring NaNs.","nanvar(a[\, axis\, dtype\, keepdims\, ddof\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.nanvar"
"negative","This docstring was copied from numpy.negative.","negative(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.negative"
"nextafter","This docstring was copied from numpy.nextafter.","nextafter(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.nextafter"
"nonzero","Return the indices of the elements that are non-zero.","nonzero(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.nonzero"
"normalize_chunks","Normalize chunks to tuple of tuples","normalize_chunks(chunks[\, shape\, limit\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.core.normalize_chunks"
"not_equal","This docstring was copied from numpy.not_equal.","not_equal(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.not_equal"
"notnull","pandas.notnull for dask arrays","notnull(values)","https://docs.dask.org/en/latest/array-api.html#dask.array.notnull"
"ones","Blocked variant of ones","ones(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.ones"
"ones_like","Return an array of ones with the same shape and type as a given array.","ones_like(a[\, dtype\, order\, chunks\, name\, shape])","https://docs.dask.org/en/latest/array-api.html#dask.array.ones_like"
"outer","Compute the outer product of two vectors.","outer(a\, b)","https://docs.dask.org/en/latest/array-api.html#dask.array.outer"
"overlap.map_overlap","Map a function over blocks of arrays with some overlap","overlap.map_overlap(func\, *args[\, depth\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.overlap.map_overlap"
"overlap.overlap","Share boundaries between neighboring blocks","overlap.overlap(x\, depth\, boundary)","https://docs.dask.org/en/latest/array-api.html#dask.array.overlap.overlap"
"overlap.trim_internal","Trim sides from each block","overlap.trim_internal(x\, axes[\, boundary])","https://docs.dask.org/en/latest/array-api.html#dask.array.overlap.trim_internal"
"overlap.trim_overlap","Trim sides from each block.","overlap.trim_overlap(x\, depth[\, boundary])","https://docs.dask.org/en/latest/array-api.html#dask.array.overlap.trim_overlap"
"pad","Pad an array.","pad(array\, pad_width[\, mode])","https://docs.dask.org/en/latest/array-api.html#dask.array.pad"
"percentile","Approximate percentile of 1-D array","percentile(a\, q[\, interpolation\, method])","https://docs.dask.org/en/latest/array-api.html#dask.array.percentile"
"piecewise","Evaluate a piecewise-defined function.","piecewise(x\, condlist\, funclist\, *args\, **kw)","https://docs.dask.org/en/latest/array-api.html#dask.array.piecewise"
"power","This docstring was copied from numpy.power.","power(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.power"
"prod","Return the product of array elements over a given axis.","prod(a[\, axis\, dtype\, keepdims\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.prod"
"ptp","Range of values (maximum - minimum) along an axis.","ptp(a[\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.ptp"
"rad2deg","This docstring was copied from numpy.rad2deg.","rad2deg(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.rad2deg"
"radians","This docstring was copied from numpy.radians.","radians(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.radians"
"random.beta","Draw samples from a Beta distribution.","random.beta(a\, b[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.beta"
"random.binomial","Draw samples from a binomial distribution.","random.binomial(n\, p[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.binomial"
"random.chisquare","Draw samples from a chi-square distribution.","random.chisquare(df[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.chisquare"
"random.choice","Generates a random sample from a given 1-D array","random.choice(a[\, size\, replace\, p\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.choice"
"random.exponential","Draw samples from an exponential distribution.","random.exponential([scale\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.exponential"
"random.f","Draw samples from an F distribution.","random.f(dfnum\, dfden[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.f"
"random.gamma","Draw samples from a Gamma distribution.","random.gamma(shape[\, scale\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.gamma"
"random.geometric","Draw samples from the geometric distribution.","random.geometric(p[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.geometric"
"random.gumbel","Draw samples from a Gumbel distribution.","random.gumbel([loc\, scale\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.gumbel"
"random.hypergeometric","Draw samples from a Hypergeometric distribution.","random.hypergeometric(ngood\, nbad\, nsample)","https://docs.dask.org/en/latest/array-api.html#dask.array.random.hypergeometric"
"random.laplace","Draw samples from the Laplace or double exponential distribution with specified location (or mean) and scale (decay).","random.laplace([loc\, scale\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.laplace"
"random.logistic","Draw samples from a logistic distribution.","random.logistic([loc\, scale\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.logistic"
"random.lognormal","Draw samples from a log-normal distribution.","random.lognormal([mean\, sigma\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.lognormal"
"random.logseries","Draw samples from a logarithmic series distribution.","random.logseries(p[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.logseries"
"random.negative_binomial","Draw samples from a negative binomial distribution.","random.negative_binomial(n\, p[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.negative_binomial"
"random.noncentral_chisquare","Draw samples from a noncentral chi-square distribution.","random.noncentral_chisquare(df\, nonc[\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.noncentral_chisquare"
"random.noncentral_f","Draw samples from the noncentral F distribution.","random.noncentral_f(dfnum\, dfden\, nonc[\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.noncentral_f"
"random.normal","Draw random samples from a normal (Gaussian) distribution.","random.normal([loc\, scale\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.normal"
"random.pareto","Draw samples from a Pareto II or Lomax distribution with specified shape.","random.pareto(a[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.pareto"
"random.poisson","Draw samples from a Poisson distribution.","random.poisson([lam\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.poisson"
"random.power","Draws samples in [0\, 1] from a power distribution with positive exponent a - 1.","random.power(a[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.power"
"random.randint","Return random integers from low (inclusive) to high (exclusive).","random.randint(low[\, high\, size\, chunks\, dtype])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.randint"
"random.random","Return random floats in the half-open interval [0.0\, 1.0).","random.random([size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.random"
"random.random_sample","Return random floats in the half-open interval [0.0\, 1.0).","random.random_sample([size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.random_sample"
"random.rayleigh","Draw samples from a Rayleigh distribution.","random.rayleigh([scale\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.rayleigh"
"random.standard_cauchy","Draw samples from a standard Cauchy distribution with mode = 0.","random.standard_cauchy([size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.standard_cauchy"
"random.standard_exponential","Draw samples from the standard exponential distribution.","random.standard_exponential([size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.standard_exponential"
"random.standard_gamma","Draw samples from a standard Gamma distribution.","random.standard_gamma(shape[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.standard_gamma"
"random.standard_normal","Draw samples from a standard Normal distribution (mean=0\, stdev=1).","random.standard_normal([size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.standard_normal"
"random.standard_t","Draw samples from a standard Student’s t distribution with df degrees of freedom.","random.standard_t(df[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.standard_t"
"random.triangular","Draw samples from the triangular distribution over the interval [left\, right].","random.triangular(left\, mode\, right[\, size\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.triangular"
"random.uniform","Draw samples from a uniform distribution.","random.uniform([low\, high\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.uniform"
"random.vonmises","Draw samples from a von Mises distribution.","random.vonmises(mu\, kappa[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.vonmises"
"random.wald","Draw samples from a Wald\, or inverse Gaussian\, distribution.","random.wald(mean\, scale[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.wald"
"random.weibull","Draw samples from a Weibull distribution.","random.weibull(a[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.weibull"
"random.zipf","Standard distributions","random.zipf(a[\, size\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.random.zipf"
"ravel","Return a contiguous flattened array.","ravel(array_like)","https://docs.dask.org/en/latest/array-api.html#dask.array.ravel"
"real","Return the real part of the complex argument.","real(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.real"
"rechunk","Convert blocks in dask array x for new chunks.","rechunk(x[\, chunks\, threshold\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.rechunk"
"reciprocal","This docstring was copied from numpy.reciprocal.","reciprocal(x\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.reciprocal"
"reduction","General version of reductions","reduction(x\, chunk\, aggregate[\, axis\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.reduction"
"register_chunk_type","Register the given type as a valid chunk and downcast array type","register_chunk_type(type)","https://docs.dask.org/en/latest/array-api.html#dask.array.register_chunk_type"
"remainder","This docstring was copied from numpy.remainder.","remainder(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.remainder"
"repeat","Repeat elements of an array.","repeat(a\, repeats[\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.repeat"
"reshape","Reshape array to new shape","reshape(x\, shape[\, merge_chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.reshape"
"result_type","This docstring was copied from numpy.result_type.","result_type(*arrays_and_dtypes)","https://docs.dask.org/en/latest/array-api.html#dask.array.result_type"
"rint","This docstring was copied from numpy.rint.","rint(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.rint"
"roll","Roll array elements along a given axis.","roll(array\, shift[\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.roll"
"rollaxis","","rollaxis(a\, axis[\, start])","https://docs.dask.org/en/latest/array-api.html#dask.array.rollaxis"
"rot90","Rotate an array by 90 degrees in the plane specified by axes.","rot90(m[\, k\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.rot90"
"round","Round an array to the given number of decimals.","round(a[\, decimals])","https://docs.dask.org/en/latest/array-api.html#dask.array.round"
"sign","This docstring was copied from numpy.sign.","sign(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.sign"
"signbit","This docstring was copied from numpy.signbit.","signbit(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.signbit"
"sin","This docstring was copied from numpy.sin.","sin(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.sin"
"sinc","Return the normalized sinc function.","sinc(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.sinc"
"sinh","This docstring was copied from numpy.sinh.","sinh(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.sinh"
"sqrt","This docstring was copied from numpy.sqrt.","sqrt(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.sqrt"
"square","This docstring was copied from numpy.square.","square(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.square"
"squeeze","Remove axes of length one from a.","squeeze(a[\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.squeeze"
"stack","Stack arrays along a new axis","stack(seq[\, axis\, allow_unknown_chunksizes])","https://docs.dask.org/en/latest/array-api.html#dask.array.stack"
"stats.chisquare","Calculate a one-way chi-square test.","stats.chisquare(f_obs[\, f_exp\, ddof\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.chisquare"
"stats.f_oneway","Perform one-way ANOVA.","stats.f_oneway(*args)","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.f_oneway"
"stats.kurtosis","Compute the kurtosis (Fisher or Pearson) of a dataset.","stats.kurtosis(a[\, axis\, fisher\, bias\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.kurtosis"
"stats.kurtosistest","Test whether a dataset has normal kurtosis.","stats.kurtosistest(a[\, axis\, nan_policy])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.kurtosistest"
"stats.moment","Calculate the nth moment about the mean for a sample.","stats.moment(a[\, moment\, axis\, nan_policy])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.moment"
"stats.normaltest","Test whether a sample differs from a normal distribution.","stats.normaltest(a[\, axis\, nan_policy])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.normaltest"
"stats.power_divergence","Cressie-Read power divergence statistic and goodness of fit test.","stats.power_divergence(f_obs[\, f_exp\, ddof\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.power_divergence"
"stats.skew","Compute the sample skewness of a data set.","stats.skew(a[\, axis\, bias\, nan_policy])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.skew"
"stats.skewtest","Test whether the skew is different from the normal distribution.","stats.skewtest(a[\, axis\, nan_policy])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.skewtest"
"stats.ttest_1samp","Calculate the T-test for the mean of ONE group of scores.","stats.ttest_1samp(a\, popmean[\, axis\, nan_policy])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.ttest_1samp"
"stats.ttest_ind","Calculate the T-test for the means of two independent samples of scores.","stats.ttest_ind(a\, b[\, axis\, equal_var])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.ttest_ind"
"stats.ttest_rel","Calculate the t-test on TWO RELATED samples of scores\, a and b.","stats.ttest_rel(a\, b[\, axis\, nan_policy])","https://docs.dask.org/en/latest/array-api.html#dask.array.stats.ttest_rel"
"std","Compute the standard deviation along the specified axis.","std(a[\, axis\, dtype\, keepdims\, ddof\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.std"
"store","Store dask arrays in array-like objects\, overwrite data in target","store(sources\, targets[\, lock\, regions\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.store"
"subtract","This docstring was copied from numpy.subtract.","subtract(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.subtract"
"sum","Sum of array elements over a given axis.","sum(a[\, axis\, dtype\, keepdims\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.sum"
"take","Take elements from an array along an axis.","take(a\, indices[\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.take"
"tan","This docstring was copied from numpy.tan.","tan(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.tan"
"tanh","This docstring was copied from numpy.tanh.","tanh(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.tanh"
"tensordot","Compute tensor dot product along specified axes.","tensordot(lhs\, rhs[\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.tensordot"
"tile","Construct an array by repeating A the number of times given by reps.","tile(A\, reps)","https://docs.dask.org/en/latest/array-api.html#dask.array.tile"
"to_hdf5","Store arrays in HDF5 file","to_hdf5(filename\, *args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.to_hdf5"
"to_npy_stack","Write dask array to a stack of .npy files","to_npy_stack(dirname\, x[\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.to_npy_stack"
"to_tiledb","Save array to the TileDB storage format","to_tiledb(darray\, uri[\, compute\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.to_tiledb"
"to_zarr","Save array to the zarr storage format","to_zarr(arr\, url[\, component\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.to_zarr"
"topk","Extract the k largest elements from a on the given axis\, and return them sorted from largest to smallest.","topk(a\, k[\, axis\, split_every])","https://docs.dask.org/en/latest/array-api.html#dask.array.topk"
"transpose","Reverse or permute the axes of an array; returns the modified array.","transpose(a[\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.transpose"
"tril","Lower triangle of an array.","tril(m[\, k])","https://docs.dask.org/en/latest/array-api.html#dask.array.tril"
"triu","Upper triangle of an array.","triu(m[\, k])","https://docs.dask.org/en/latest/array-api.html#dask.array.triu"
"true_divide","This docstring was copied from numpy.true_divide.","true_divide(x1\, x2\, /[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.true_divide"
"trunc","This docstring was copied from numpy.trunc.","trunc(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.trunc"
"unique","Find the unique elements of an array.","unique(ar[\, return_index\, return_inverse\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.unique"
"unravel_index","This docstring was copied from numpy.unravel_index.","unravel_index(indices\, shape[\, order])","https://docs.dask.org/en/latest/array-api.html#dask.array.unravel_index"
"var","Compute the variance along the specified axis.","var(a[\, axis\, dtype\, keepdims\, ddof\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.var"
"vdot","This docstring was copied from numpy.vdot.","vdot(a\, b)","https://docs.dask.org/en/latest/array-api.html#dask.array.vdot"
"vstack","Stack arrays in sequence vertically (row wise).","vstack(tup[\, allow_unknown_chunksizes])","https://docs.dask.org/en/latest/array-api.html#dask.array.vstack"
"where","This docstring was copied from numpy.where.","where(condition\, [x\, y])","https://docs.dask.org/en/latest/array-api.html#dask.array.where"
"zeros","Blocked variant of zeros","zeros(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.zeros"
"zeros_like","Return an array of zeros with the same shape and type as a given array.","zeros_like(a[\, dtype\, order\, chunks\, name\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.zeros_like"
